,Distance (scaled),Elevation (scaled),Wind (scaled),Is snowing,Result
3431,38,450,1.0,0,1
3432,33,450,1.0,0,1
3433,48,450,1.0,0,1
3434,48,450,1.0,0,1
3435,33,450,1.0,0,1
3436,33,450,1.0,0,1
3437,42,450,1.0,0,1
3438,44,450,1.0,0,1
3439,33,450,1.0,0,1
3440,38,645,0.0,0,1
3441,33,645,0.0,0,1
3442,44,645,0.0,0,1
3443,33,645,0.0,0,0
3444,59,645,0.0,0,1
3445,45,645,0.0,0,1
3446,40,645,0.0,0,1
3447,42,645,0.0,0,1
3448,33,597,4.0,0,1
3449,33,597,4.0,0,1
3450,44,597,4.0,0,1
3451,33,597,4.0,0,1
3452,33,597,4.0,0,1
3453,45,597,4.0,0,1
3454,60,597,4.0,0,0
3455,22,597,4.0,0,1
3456,33,597,4.0,0,1
3457,44,597,4.0,0,1
3458,33,597,4.0,0,1
3459,33,597,4.0,0,1
3460,33,597,4.0,0,1
3461,31,597,4.0,0,1
3462,33,597,4.0,0,1
3463,33,289,13.0,0,1
3464,33,289,13.0,0,1
3465,24,289,13.0,0,1
3466,33,289,13.0,0,0
3467,33,289,13.0,0,1
3468,20,289,13.0,0,1
3469,33,289,13.0,0,1
3470,23,1070,0.0,0,1
3471,33,1070,0.0,0,1
3472,54,1070,0.0,0,1
3473,42,1070,0.0,0,1
3474,55,1070,0.0,0,1
3475,21,1070,0.0,0,1
3476,59,1070,0.0,0,1
3477,33,1070,0.0,0,1
3478,33,1070,0.0,0,1
3479,45,1070,0.0,0,1
3480,33,1070,0.0,0,1
3481,33,1070,0.0,0,1
3482,41,750,21.0,0,1
3483,30,750,21.0,0,1
3484,33,750,21.0,0,1
3485,33,750,21.0,0,1
3486,45,750,21.0,0,1
3487,33,750,21.0,0,1
3488,33,750,21.0,0,1
3489,37,750,21.0,0,1
3490,33,2001,0.0,0,1
3491,50,2001,0.0,0,1
3492,33,2001,0.0,0,1
3493,24,2001,0.0,0,1
3494,51,2001,0.0,0,1
3495,33,2001,0.0,0,1
3496,22,2001,0.0,0,1
3497,33,2001,0.0,0,1
3498,33,2001,0.0,0,1
3499,41,584,25.0,0,1
3500,45,584,25.0,0,0
3501,33,584,25.0,0,1
3502,33,584,25.0,0,1
3503,33,430,6.0,0,1
3504,24,430,6.0,0,1
3505,50,430,6.0,0,1
3506,33,430,6.0,0,1
3507,33,430,6.0,0,1
3508,43,430,6.0,0,1
3509,33,430,6.0,0,1
3510,33,430,6.0,0,1
3511,44,430,6.0,0,0
3512,33,430,6.0,0,1
3513,51,640,23.0,0,1
3514,33,640,23.0,0,1
3515,33,640,23.0,0,1
3516,33,640,23.0,0,1
3517,39,640,23.0,0,1
